from,to,weight,type
Ardnic,Thecac,1,frugivory
Arifla,Manzap,1,frugivory
Arifla,Syzjam,1,frugivory
Artcin,Cecusa,1,frugivory
Artcin,Solasp,1,frugivory
Artcin,Viscay,1,frugivory
Artcin,Visgui,1,frugivory
Artcon,Cecusa,1,frugivory
Artcon,Viscay,1,frugivory
Artcon,Visgui,1,frugivory
Artfim,Cecgla,1,frugivory
Artfim,Cecpac,1,frugivory
Artfim,Ficlus,1,frugivory
Artfim,Vasbre,1,frugivory
Artgno,Cecfic,1,frugivory
Artgno,Cecusa,1,frugivory
Artgno,Couvil,1,frugivory
Artgno,Vismac,1,frugivory
Arthir,Ficcot,1,frugivory
Artjam,Acracu,1,frugivory
Artjam,Anaexc,1,frugivory
Artjam,Andine,1,frugivory
Artjam,Annmur,1,frugivory
Artjam,Annsqu,1,frugivory
Artjam,Broali,1,frugivory
Artjam,Byrspi,1,frugivory
Artjam,Calbra,1,frugivory
Artjam,Calchy,1,frugivory
Artjam,Callon,1,frugivory
Artjam,Carpap,1,frugivory
Artjam,Casedu,1,frugivory
Artjam,Ceccon,1,frugivory
Artjam,Cecdis,1,frugivory
Artjam,Cecfic,1,frugivory
Artjam,Cecgla,1,frugivory
Artjam,Cecmem,1,frugivory
Artjam,Cecobt,1,frugivory
Artjam,CecPal,1,frugivory
Artjam,Cecpel,1,frugivory
Artjam,Cecsch,1,frugivory
Artjam,Cecsci,1,frugivory
Artjam,Cecusa,1,frugivory
Artjam,Cerhex,1,frugivory
Artjam,Chrcai,1,frugivory
Artjam,Chrica,1,frugivory
Artjam,Citaur,1,frugivory
Artjam,Clamex,1,frugivory
Artjam,Clufla,1,frugivory
Artjam,Cocuvi,1,frugivory
Artjam,Cofara,1,frugivory
Artjam,Corbic,1,frugivory
Artjam,Corcol,1,frugivory
Artjam,Corden,1,frugivory
Artjam,Couvil,1,frugivory
Artjam,Cynret,1,frugivory
Artjam,Denarb,1,frugivory
Artjam,Diomab,1,frugivory
Artjam,Dionig,1,frugivory
Artjam,Dipodo,1,frugivory
Artjam,Dipole,1,frugivory
Artjam,Dippan,1,frugivory
Artjam,Epihoo,1,frugivory
Artjam,Erijap,1,frugivory
Artjam,Ficalt,1,frugivory
Artjam,Ficben,1,frugivory
Artjam,Ficcah,1,frugivory
Artjam,Ficcit,1,frugivory
