id,taxon,taxon.label,species.size
Anocau,Bats,1,1
Anofis,Bats,1,1
Anogeo,Bats,1,1
Ardnic,Bats,1,1
Arifla,Bats,1,1
Artcin,Bats,1,1
Artcon,Bats,1,1
Artfim,Bats,1,1
Artgno,Bats,1,1
Arthir,Bats,1,1
Artjam,Bats,1,1
Artlit,Bats,1,1
Artobs,Bats,1,1
Artpha,Bats,1,1
Artpla,Bats,1,1
Arttol,Bats,1,1
Artwat,Bats,1,1
Bracav,Bats,1,1
Branan,Bats,1,1
Carbre,Bats,1,1
Carcas,Bats,1,1
Carper,Bats,1,1
Carsow,Bats,1,1
Carsub,Bats,1,1
Censen,Bats,1,1
Chidor,Bats,1,1
Chisal,Bats,1,1
Chitri,Bats,1,1
Chivil,Bats,1,1
Chogod,Bats,1,1
Chomex,Bats,1,1
Ectalb,Bats,1,1
Enchar,Bats,1,1
Erosez,Bats,1,1
Glocom,Bats,1,1
Glolea,Bats,1,1
Glolon,Bats,1,1
Glosor,Bats,1,1
Hylund,Bats,1,1
Lambra,Bats,1,1
Lepcur,Bats,1,1
Lepniv,Bats,1,1
Lepyer,Bats,1,1
Licobs,Bats,1,1
Lonbok,Bats,1,1
Lonmor,Bats,1,1
Lonrob,Bats,1,1
Macwat,Bats,1,1
Mesmac,Bats,1,1
Michir,Bats,1,1
Micmeg,Bats,1,1
Monple,Bats,1,1
Monred,Bats,1,1
Mushar,Bats,1,1
Phydis,Bats,1,1
Phyelo,Bats,1,1
Phyhas,Bats,1,1
Phypoe,Bats,1,1
Plabra,Bats,1,1
Plagen,Bats,1,1
Plahel,Bats,1,1
Plalin,Bats,1,1
Plarec,Bats,1,1
Pygbil,Bats,1,1
Rhipum,Bats,1,1
Steruf,Bats,1,1
Stuery,Bats,1,1
Stulil,Bats,1,1
Stulud,Bats,1,1
Stuopo,Bats,1,1
Stutil,Bats,1,1
Urobil,Bats,1,1
Uromag,Bats,1,1
Vamcar,Bats,1,1
Vamhel,Bats,1,1
Vamnym,Bats,1,1
Vampus,Bats,1,1
Abureg,Plants,2,1
Acacol,Plants,2,1
Acafar,Plants,2,1
Acnarb,Plants,2,1
Acracu,Plants,2,1
Adedic,Plants,2,1
Aectil,Plants,2,1
Agaang,Plants,2,1
Agacol,Plants,2,1
Agades,Plants,2,1
Agagri,Plants,2,1
Agamac,Plants,2,1
Agapal,Plants,2,1
Agasch,Plants,2,1
Agasub,Plants,2,1
Albocc,Plants,2,1
Alegra,Plants,2,1
Alnjor,Plants,2,1
Anaexc,Plants,2,1
Andine,Plants,2,1
Annexs,Plants,2,1
Annmon,Plants,2,1
Annmur,Plants,2,1
Annsqu,Plants,2,1
Artint,Plants,2,1
Aspvag,Plants,2,1
Baumul,Plants,2,1
Baupau,Plants,2,1
Bauruf,Plants,2,1
Bauung,Plants,2,1
Bercub,Plants,2,1
Bigdiv,Plants,2,1
Bocpro,Plants,2,1
Bomsqu,Plants,2,1
Broali,Plants,2,1
Burbor,Plants,2,1
Burcer,Plants,2,1
Burcyc,Plants,2,1
Burcyl,Plants,2,1
Burlut,Plants,2,1
Burmul,Plants,2,1
Bursma,Plants,2,1
Bursod,Plants,2,1
Bursuc,Plants,2,1
Burtru,Plants,2,1
Byrspi,Plants,2,1
Caeves,Plants,2,1
Calbra,Plants,2,1
Calchy,Plants,2,1
Calghi,Plants,2,1
Callax,Plants,2,1
Callon,Plants,2,1
Calwar,Plants,2,1
Cammed,Plants,2,1
CarBra,Plants,2,1
Cargig,Plants,2,1
Cargla,Plants,2,1
Carpal,Plants,2,1
Carpap,Plants,2,1
Casedu,Plants,2,1
Cecang,Plants,2,1
Ceccon,Plants,2,1
Cecdis,Plants,2,1
Cecfic,Plants,2,1
Cecgla,Plants,2,1
Cechol,Plants,2,1
Cecins,Plants,2,1
