nodes	modules	layers
Plahel	1	frugivory
Ficcit	1	frugivory
Artpha	1	frugivory
Ficcah	1	frugivory
Ficcos	1	frugivory
Enchar	1	frugivory
Ficret	1	frugivory
Lycmul	1	frugivory
Sporad	1	frugivory
Anaexc	1	frugivory
Ficins	1	frugivory
Ficcro	1	frugivory
Artwat	1	frugivory
Chitri	1	frugivory
Ficobt	1	frugivory
Vamhel	1	frugivory
Ficnym	1	frugivory
Ficmax	1	frugivory
Ficpop	1	frugivory
Censen	1	frugivory
Vampus	1	frugivory
Ficper	1	frugivory
Ficton	1	frugivory
Urobil	1	frugivory
Chivil	1	frugivory
Herdid	1	frugivory
Solrug	1	frugivory
Cecobt	1	frugivory
Fictri	1	frugivory
Ficmat	1	frugivory
Ficpar	1	frugivory
Pouarm	1	frugivory
Guefol	1	frugivory
Ficyop	1	frugivory
Chidor	1	frugivory
Vamnym	1	frugivory
Vamcar	1	frugivory
Piphis	2	frugivory
Aectil	2	frugivory
Pipaeq	2	frugivory
Vispan	2	frugivory
Senbac	2	frugivory
Pipadu	2	frugivory
Acacol	2	frugivory
Hawule	2	frugivory
Phicun	2	frugivory
Pipcyr	2	frugivory
Pipdar	2	frugivory
Pipcen	2	frugivory
Pipdil	2	frugivory
Piparb	2	frugivory
Carper	2	frugivory
Epefal	2	frugivory
Piptri	2	frugivory
Karcal	2	frugivory
Vismac	2	frugivory
Clufla	2	frugivory
Soljam	2	frugivory
Steruf	2	frugivory
Carpal	2	frugivory
Pipcra	2	frugivory
Pipsan	2	frugivory
Cecsch	2	frugivory
Thobis	2	frugivory
Proara	2	frugivory
Visses	2	frugivory
Phyriv	2	frugivory
Pipmul	2	frugivory
Solhay	2	frugivory
Pippel	2	frugivory
Pipcar	2	frugivory
Psigui	2	frugivory
Pipret	2	frugivory
Solmeg	2	frugivory
Lycgla	2	frugivory
Gussup	2	frugivory
Senfru	2	frugivory
Senund	2	frugivory
Vislau	2	frugivory
Clioct	2	frugivory
Pipmar	2	frugivory
Pipcor	2	frugivory
Vistor	2	frugivory
Dipole	2	frugivory
Solarb	2	frugivory
Pipgra	2	frugivory
Carcas	2	frugivory
Visgla	2	frugivory
Quaast	2	frugivory
Pipaug	2	frugivory
Carsow	2	frugivory
Pipcol	2	frugivory
Pipaur	2	frugivory
Manbid	2	frugivory
Paspun	2	frugivory
Sollan	2	frugivory
Licarb	2	frugivory
Carbre	2	frugivory
Pipgla	2	frugivory
Pipfri	2	frugivory
Spomom	2	frugivory
Sougui	2	frugivory
Myrpai	2	frugivory
Cecmem	2	frugivory
Vislat	3	frugivory
Calwar	3	frugivory
Mimlew	3	frugivory
Michir	3	frugivory
Piltub	3	frugivory
Eugnes	3	frugivory
Lonmor	3	frugivory
Agagri	4	nectarivory
Corger	4	nectarivory
Plalin	4	nectarivory
Diccin	4	nectarivory
Paspen	4	nectarivory
Hymsti	4	nectarivory
Royreg	4	nectarivory
Phypoe	4	nectarivory
Monred	4	nectarivory
Pseell	4	nectarivory
Hibela	4	nectarivory
Caeves	4	nectarivory
Lafgly	4	nectarivory
Branan	4	nectarivory
Glolea	4	nectarivory
Kigafr	4	nectarivory
Dennud	4	nectarivory
CarBra	4	nectarivory
Musacu	4	nectarivory
Lepsan	4	nectarivory
Lyslat	4	nectarivory
Bigdiv	4	nectarivory
Leparb	4	nectarivory
Emmnit	4	nectarivory
Lepwri	4	nectarivory
Bercub	4	nectarivory
Peladn	4	nectarivory
